provincia_id,departamento_id,a�o,mes,modelo,actividad,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),'eficiencia_stock_(\%)',producci�n_(kg/ha),'destete_(\%)',carga_(kg/ha)
6,574,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,595,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,630,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,655,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,672,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,693,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,707,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,778,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,798,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,812,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
30,8,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,21,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,49,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,56,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,77,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,84,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,88,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,91,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,98,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,105,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
30,113,2017,11,'entre rios sw',invernada,982,-1139,4837,3855,2121,59,284,?,482
42,14,2017,11,'la pampa-san luis arida',cria,351,206,498,147,145,29,17,65,59
42,49,2017,11,'la pampa-san luis arida',cria,351,206,498,147,145,29,17,65,59
42,42,2017,11,'la pampa-san luis arida',cria,351,206,498,147,145,29,17,65,59
42,77,2017,11,'la pampa-san luis arida',cria,351,206,498,147,145,29,17,65,59
42,84,2017,11,'la pampa-san luis arida',cria,351,206,498,147,145,29,17,65,59
42,91,2017,11,'la pampa-san luis arida',cria,351,206,498,147,145,29,17,65,59
42,154,2017,11,'la pampa-san luis arida',cria,351,206,498,147,145,29,17,65,59
74,7,2017,11,'la pampa-san luis arida',cria,351,206,498,147,145,29,17,65,59
